# Time-averaged data for fix 4
# TimeStep Number-of-rows
# Row c_rdf[1] c_rdf[2] c_rdf[3]
35100 100
99 7.88 1.09718 96.911
100 7.96 1.1008 99.9475
36000 100
1 0.04 0 0
2 0.12 0 0
3 0.2 0 0
4 0.28 0 0
5 0.36 0 0
6 0.44 0 0
7 0.52 0 0
8 0.6 0 0
9 0.68 0 0
10 0.76 0 0
11 0.84 0 0
12 0.92 0 0
13 1 0 0
14 1.08 0 0
15 1.16 0 0
16 1.24 0 0
17 1.32 0 0
18 1.4 0 0
19 1.48 0 0
20 1.56 0.00471834 0.0005
21 1.64 0.00426934 0.001
22 1.72 0 0.001
23 1.8 0.00708839 0.002
24 1.88 0.00649805 0.003
25 1.96 0.0358709 0.009
26 2.04 0.0993392 0.027
27 2.12 0.166083 0.0595
28 2.2 0.218287 0.1055
29 2.28 0.282768 0.1695
30 2.36 0.430938 0.274
31 2.44 0.584464 0.4255
32 2.52 0.978349 0.696
33 2.6 2.22039 1.3495
34 2.68 2.59188 2.16
35 2.76 3.49612 3.3195
36 2.84 3.07697 4.4
37 2.92 2.53221 5.34
38 3 1.90386 6.086
39 3.08 1.66581 6.774
40 3.16 1.40198 7.3835
41 3.24 1.33032 7.9915
42 3.32 1.09402 8.5165
43 3.4 0.987512 9.0135
44 3.48 0.986256 9.5335
45 3.56 0.950586 10.058
46 3.64 0.898861 10.5765
47 3.72 0.874726 11.1035
48 3.8 0.801699 11.6075
49 3.88 0.77661 12.1165
50 3.96 0.799013 12.662
51 4.04 0.837344 13.257
52 4.12 0.874832 13.9035
53 4.2 0.890653 14.5875
54 4.28 0.90281 15.3075
55 4.36 0.934025 16.0805
56 4.44 0.937956 16.8855
57 4.52 0.991618 17.7675
58 4.6 1.02799 18.7145
59 4.68 1.11637 19.779
