# Time-averaged data for fix 5
# TimeStep c_msd[4]
49760 155.596
49770 155.601
49780 155.588
49790 155.58
49800 155.58
49810 155.601
49820 155.609
49830 155.599
49840 155.568
49850 155.551
49860 155.56
49870 155.566
49880 155.592
49890 155.608
49900 155.621
49910 155.625
49920 155.607
49930 155.602
49940 155.608
49950 155.608
49960 155.62
49970 155.624
49980 155.632
49990 155.643
50000 155.655
50010 155.68
50020 155.695
50030 155.698
50040 155.702
50050 155.719
50060 155.718
50070 155.698
50080 155.691
50090 155.676
50100 155.651
50110 155.628
50120 155.623
50130 155.644
50140 155.65
50150 155.632
50160 155.623
50170 155.628
50180 155.636
50190 155.64
50200 155.647
50210 155.657
50220 155.642
50230 155.602
50240 155.559
50250 155.546
50260 155.554
50270 155.563
50280 155.577
50290 155.605
50300 155.633
50310 155.671
50320 155.694
50330 155.694
50340 155.683
50350 155.67
50360 155.659
50370 155.652
50380 155.673
50390 155.682
50400 155.705
50410 155.739
50420 155.76
50430 155.771
50440 155.772
50450 155.767
50460 155.751
50470 155.716
50480 155.692
50490 155.673
50500 155.67
50510 155.678
50520 155.695
50530 155.695
50540 155.678
50550 155.66
50560 155.658
50570 155.665
50580 155.659
50590 155.647
50600 155.649
50610 155.643
50620 155.646
50630 155.672
50640 155.728
50650 155.786
50660 155.813
50670 155.826
50680 155.833
50690 155.818
50700 155.801
50710 155.794
50720 155.8
50730 155.824
50740 155.859
50750 155.883
50760 155.904
50770 155.921
50780 155.92
50790 155.922
50800 155.931
50810 155.936
50820 155.907
50830 155.879
50840 155.853
50850 155.839
50860 155.829
50870 155.829
50880 155.837
50890 155.845
50900 155.848
50910 155.847
50920 155.844
50930 155.84
50940 155.839
50950 155.836
50960 155.826
50970 155.813
50980 155.793
50990 155.778
51000 155.764
51010 155.767
51020 155.744
51030 155.734
51040 155.73
51050 155.733
51060 155.739
51070 155.754
51080 155.769
51090 155.804
51100 155.825
51110 155.86
51120 155.892
51130 155.912
51140 155.937
51150 155.968
51160 155.975
51170 155.97
51180 155.952
51190 155.939
51200 155.945
51210 155.958
51220 155.956
51230 155.947
51240 155.946
51250 155.945
51260 155.931
51270 155.927
51280 155.932
51290 155.922
51300 155.909
51310 155.913
51320 155.951
51330 155.979
51340 155.992
51350 155.996
51360 155.996
51370 155.991
51380 155.992
51390 155.986
51400 155.99
51410 155.998
51420 156.013
51430 156.013
51440 156.011
51450 156.008
51460 156.028
51470 156.049
51480 156.059
51490 156.079
51500 156.097
51510 156.094
51520 156.085
51530 156.076
51540 156.086
51550 156.087
51560 156.08
51570 156.068
51580 156.052
51590 156.042
51600 156.036
51610 156.039
51620 156.042
51630 156.044
51640 156.048
51650 156.06
51660 156.065
51670 156.072
51680 156.086
51690 156.09
51700 156.096
51710 156.092
51720 156.104
51730 156.111
51740 156.11
51750 156.103
51760 156.098
51770 156.106
51780 156.129
51790 156.138
51800 156.133
51810 156.132
51820 156.125
51830 156.118
51840 156.103
51850 156.086
51860 156.08
51870 156.078
51880 156.078
51890 156.078
51900 156.09
51910 156.115
51920 156.129
51930 156.121
51940 156.137
51950 156.15
51960 156.155
51970 156.181
51980 156.182
51990 156.178
52000 156.178
52010 156.187
52020 156.206
52030 156.223
52040 156.245
52050 156.257
52060 156.247
52070 156.24
52080 156.224
52090 156.21
52100 156.183
52110 156.151
52120 156.128
52130 156.131
52140 156.145
52150 156.17
52160 156.199
52170 156.252
52180 156.3
52190 156.323
52200 156.329
52210 156.323
52220 156.286
52230 156.255
52240 156.246
52250 156.227
52260 156.215
52270 156.192
52280 156.184
52290 156.197
52300 156.201
52310 156.219
52320 156.226
52330 156.214
52340 156.205
52350 156.203
52360 156.202
52370 156.19
52380 156.173
52390 156.166
52400 156.171
52410 156.198
52420 156.228
52430 156.229
52440 156.227
52450 156.241
52460 156.272
52470 156.296
52480 156.285
52490 156.269
52500 156.282
52510 156.297
52520 156.313
52530 156.325
52540 156.316
52550 156.306
52560 156.299
52570 156.287
52580 156.274
52590 156.276
52600 156.287
52610 156.285
52620 156.283
52630 156.3
52640 156.309
52650 156.336
52660 156.365
52670 156.377
52680 156.385
52690 156.403
52700 156.412
52710 156.424
52720 156.442
52730 156.464
52740 156.484
52750 156.507
52760 156.525
52770 156.542
52780 156.54
52790 156.525
52800 156.497
52810 156.47
52820 156.457
52830 156.441
52840 156.425
52850 156.412
52860 156.393
52870 156.377
52880 156.375
52890 156.381
52900 156.396
52910 156.418
52920 156.418
52930 156.415
52940 156.413
52950 156.415
52960 156.412
52970 156.414
52980 156.415
52990 156.393
53000 156.41
53010 156.443
53020 156.47
53030 156.494
53040 156.533
53050 156.554
53060 156.567
53070 156.579
53080 156.583
53090 156.585
53100 156.609
53110 156.623
53120 156.618
53130 156.585
53140 156.565
53150 156.541
53160 156.535
53170 156.529
53180 156.525
53190 156.53
53200 156.536
53210 156.553
53220 156.558
53230 156.57
53240 156.589
53250 156.604
53260 156.599
53270 156.589
53280 156.581
53290 156.581
53300 156.576
53310 156.571
53320 156.58
53330 156.582
53340 156.579
53350 156.582
53360 156.592
53370 156.602
53380 156.6
53390 156.604
53400 156.613
53410 156.646
53420 156.683
53430 156.704
53440 156.725
53450 156.721
53460 156.711
53470 156.707
53480 156.7
53490 156.704
53500 156.699
53510 156.673
53520 156.66
53530 156.649
53540 156.657
53550 156.676
53560 156.688
53570 156.692
53580 156.695
53590 156.705
53600 156.723
53610 156.747
53620 156.742
53630 156.731
53640 156.72
53650 156.718
53660 156.729
53670 156.743
53680 156.734
53690 156.725
53700 156.718
53710 156.726
53720 156.746
53730 156.759
53740 156.762
53750 156.768
53760 156.768
53770 156.77
53780 156.759
53790 156.75
53800 156.756
53810 156.774
53820 156.795
53830 156.801
53840 156.812
53850 156.826
53860 156.835
53870 156.82
53880 156.809
53890 156.812
53900 156.827
53910 156.84
53920 156.837
53930 156.831
53940 156.843
53950 156.857
53960 156.86
53970 156.859
53980 156.865
53990 156.879
54000 156.875
54010 156.867
54020 156.849
54030 156.839
54040 156.857
54050 156.855
